UF de notificacao;ID-codigo;UF_nome;V2017;V2018;V2019;V2020;V2021;VTotal
11 Rondonia;11; Rondonia;1253;1328;1476;1320;1382;6759
12 Acre;12; Acre;2102;1851;1818;1464;1956;9191
13 Amazonas;13; Amazonas;4380;4570;5866;4283;5178;24277
14 Roraima;14; Roraima;1033;1241;1813;1279;1446;6812
15 Para;15; Para;4057;4896;7425;9328;10102;35808
16 Amapa;16; Amapa;570;723;870;418;623;3204
17 Tocantins;17; Tocantins;4410;4531;4371;3839;3576;20727
21 Maranhao;21; Maranhao;2175;2903;4169;3415;4057;16719
22 Piaui;22; Piaui;3432;3732;4548;3008;4396;19116
23 Ceara;23; Ceara;5658;8417;12039;10468;12564;49146
24 Rio Grande do Norte;24; Rio Grande do Norte;2598;3012;3909;2867;3546;15932
25 Paraiba;25; Paraiba;3034;3181;4200;3164;3422;17001
26 Pernambuco;26; Pernambuco;15523;17871;19829;15604;19880;88707
27 Alagoas;27; Alagoas;4326;4309;5299;4225;5161;23320
28 Sergipe;28; Sergipe;943;1255;1528;1753;1859;7338
29 Bahia;29; Bahia;9657;11385;10415;8148;10889;50494
31 Minas Gerais;31; Minas Gerais;43858;47055;51199;38868;37167;218147
32 Espirito Santo;32; Espirito Santo;7197;9195;10293;7700;9348;43733
33 Rio de Janeiro;33; Rio de Janeiro;31761;35403;39568;31601;37447;175780
35 Sao Paulo;35; Sao Paulo;75735;85118;95942;79330;99036;435161
41 Parana;41; Parana;29590;34321;39564;31834;33464;168773
42 Santa Catarina;42; Santa Catarina;11934;13370;16232;13139;14083;68758
43 Rio Grande do Sul;43; Rio Grande do Sul;21646;26490;32027;21917;21510;123590
50 Mato Grosso do Sul;50; Mato Grosso do Sul;8354;9313;10899;9485;9138;47189
51 Mato Grosso;51; Mato Grosso;2506;2562;3533;3014;3069;14684
52 Goias;52; Goias;6101;7612;10227;8812;12012;44764
53 Distrito Federal;53; Distrito Federal;3534;4710;6438;6219;6951;27853